,x
1061,64.0
1062,65.0
1063,65.0
1064,66.0
1065,67.0
1066,67.0
1067,69.0
1068,70.0
1069,71.0
1070,72.0
1071,72.0
1072,75.0
1073,78.0
1074,78.0
1075,45.0
1076,43.0
1077,33.0
1078,41.0
1079,53.0
1080,66.0
1081,67.0
1082,20.0
1083,20.0
1084,25.0
1085,30.0
1086,32.0
1087,42.0
1088,47.0
1089,51.0
1090,53.0
1091,57.0
1092,63.0
1093,70.0
1094,32.0
1095,57.0
1096,25.0
1097,24.0
1098,73.0
1099,71.0
1100,63.0
1101,29.0
1102,55.0
1103,20.0
1104,21.0
1105,21.0
1106,22.0
1107,22.0
1108,24.0
1109,25.0
1110,27.0
1111,32.0
1112,36.0
1113,36.0
1114,39.0
1115,42.0
1116,43.0
1117,43.0
1118,44.0
1119,47.0
1120,48.0
1121,48.0
1122,50.0
1123,50.0
1124,53.0
1125,55.0
1126,56.0
1127,59.0
1128,61.0
1129,62.0
1130,62.0
1131,62.0
1132,63.0
1133,64.0
1134,67.0
1135,70.0
1136,70.0
1137,72.0
1138,79.0
1139,18.0
1140,20.0
1141,20.0
1142,21.0
1143,21.0
1144,21.0
1145,21.0
1146,21.0
1147,22.0
1148,23.0
1149,23.0
1150,25.0
1151,25.0
1152,28.0
1153,28.0
1154,29.0
1155,29.0
1156,29.0
1157,31.0
1158,31.0
1159,32.0
1160,33.0
1161,33.0
1162,35.0
1163,36.0
1164,36.0
1165,37.0
1166,39.0
1167,39.0
1168,40.0
1169,40.0
1170,40.0
1171,41.0
1172,44.0
1173,44.0
1174,45.0
1175,46.0
1176,47.0
1177,48.0
1178,48.0
1179,49.0
1180,50.0
1181,50.0
1182,50.0
1183,50.0
1184,50.0
1185,52.0
1186,52.0
1187,53.0
1188,54.0
1189,56.0
1190,56.0
1191,56.0
1192,56.0
1193,57.0
1194,58.0
1195,58.0
1196,58.0
1197,58.0
1198,58.0
1199,58.0
1200,58.0
1201,59.0
1202,60.0
1203,60.0
1204,60.0
1205,61.0
1206,61.0
1207,63.0
1208,63.0
1209,64.0
1210,64.0
1211,64.0
1212,64.0
1213,65.0
1214,65.0
1215,65.0
1216,66.0
1217,66.0
1218,66.0
1219,66.0
1220,66.0
1221,67.0
1222,67.0
1223,67.0
1224,67.0
1225,68.0
1226,68.0
1227,68.0
1228,69.0
1229,69.0
1230,70.0
1231,70.0
1232,70.0
1233,71.0
1234,71.0
1235,71.0
1236,71.0
1237,71.0
1238,72.0
1239,72.0
1240,74.0
1241,74.0
1242,77.0
1243,78.0
1244,79.0
1245,46.0
1246,61.0
1247,73.0
1248,20.0
1249,18.0
1250,25.0
1251,32.0
1252,50.0
1253,55.0
1254,66.0
1255,47.0
1256,65.0
1257,23.0
1258,31.0
1259,40.0
1260,64.0
1261,46.0
1262,60.0
1263,56.0
1264,84.0
1265,59.0
1266,20.0
1267,48.0
1268,22.0
1269,63.0
1270,20.0
1271,56.0
1272,65.0
1273,62.0
1274,66.0
1275,61.0
1276,56.0
1277,66.0
1278,60.0
1279,31.0
1280,20.0
1281,22.0
1282,37.0
1283,20.0
1284,50.0
1285,46.0
1286,30.0
1287,63.0
1288,30.0
1289,18.0
1290,43.0
1291,51.0
1292,19.0
1293,59.0
1294,20.0
1295,33.0
1296,20.0
1297,58.0
1298,21.0
1299,34.0
1300,18.0
1301,18.0
1302,22.0
1303,32.0
1304,42.0
1305,43.0
1306,44.0
1307,44.0
1308,46.0
1309,18.0
1310,18.0
1311,18.0
1312,18.0
1313,20.0
1314,20.0
1315,20.0
1316,22.0
1317,25.0
1318,41.0
1319,46.0
1320,49.0
1321,52.0
1322,58.0
1323,61.0
1324,18.0
1325,18.0
1326,18.0
1327,19.0
1328,19.0
1329,19.0
1330,19.0
1331,19.0
1332,19.0
1333,20.0
1334,20.0
1335,20.0
1336,21.0
1337,21.0
1338,21.0
1339,29.0
1340,32.0
1341,32.0
1342,33.0
1343,37.0
1344,37.0
1345,45.0
1346,54.0
1347,57.0
1348,59.0
1349,60.0
1350,64.0
1351,67.0
1352,27.0
1353,47.0
1354,42.0
1355,36.0
1356,43.0
1357,46.0
1358,48.0
1359,51.0
1360,52.0
1361,61.0
1362,18.0
1363,18.0
1364,18.0
1365,18.0
1366,18.0
1367,18.0
1368,18.0
1369,18.0
1370,19.0
1371,19.0
1372,19.0
1373,19.0
1374,19.0
1375,20.0
1376,20.0
1377,24.0
1378,25.0
1379,25.0
1380,28.0
1381,33.0
1382,40.0
1383,41.0
1384,42.0
1385,42.0
1386,46.0
1387,47.0
1388,47.0
1389,49.0
1390,50.0
1391,50.0
1392,51.0
1393,51.0
1394,54.0
1395,55.0
1396,55.0
1397,56.0
1398,56.0
1399,57.0
1400,59.0
1401,60.0
1402,60.0
1403,60.0
1404,62.0
1405,63.0
1406,63.0
1407,63.0
1408,65.0
1409,65.0
1410,65.0
1411,66.0
1412,68.0
1413,71.0
1414,71.0
1415,73.0
1416,75.0
1417,19.0
1418,22.0
1419,48.0
1420,49.0
1421,53.0
1422,60.0
1423,71.0
1424,60.0
1425,64.0
1426,64.0
1427,65.0
1428,65.0
1429,68.0
1430,63.0
1431,63.0
1432,60.0
1433,68.0
1434,18.0
1435,19.0
1436,25.0
1437,18.0
1438,18.0
1439,18.0
1440,19.0
1441,19.0
1442,19.0
1443,19.0
1444,19.0
1445,19.0
1446,21.0
1447,23.0
1448,23.0
1449,24.0
1450,25.0
1451,29.0
1452,31.0
1453,37.0
1454,37.0
1455,44.0
1456,45.0
1457,46.0
1458,47.0
1459,48.0
1460,50.0
1461,50.0
1462,51.0
1463,52.0
1464,52.0
1465,53.0
1466,54.0
1467,54.0
1468,55.0
1469,57.0
1470,57.0
1471,64.0
1472,64.0
1473,70.0
1474,75.0
1475,18.0
1476,18.0
1477,19.0
1478,19.0
1479,19.0
1480,19.0
1481,19.0
1482,19.0
1483,20.0
1484,21.0
1485,21.0
1486,21.0
1487,21.0
1488,22.0
1489,23.0
1490,23.0
1491,25.0
1492,26.0
1493,27.0
1494,29.0
1495,31.0
1496,32.0
1497,34.0
1498,34.0
1499,35.0
1500,35.0
1501,37.0
1502,38.0
1503,41.0
1504,41.0
1505,45.0
1506,45.0
1507,47.0
1508,49.0
1509,49.0
1510,49.0
1511,50.0
1512,51.0
1513,53.0
1514,56.0
1515,57.0
1516,57.0
1517,58.0
1518,58.0
1519,58.0
1520,60.0
1521,60.0
1522,60.0
1523,60.0
1524,60.0
1525,60.0
1526,61.0
1527,61.0
1528,62.0
1529,62.0
1530,63.0
1531,63.0
1532,64.0
1533,64.0
1534,64.0
1535,65.0
1536,65.0
1537,65.0
1538,65.0
1539,65.0
1540,66.0
1541,67.0
1542,68.0
1543,69.0
1544,72.0
1545,72.0
1546,73.0
1547,74.0
1548,76.0
1549,76.0
1550,80.0
1551,49.0
1552,55.0
1553,58.0
1554,22.0
1555,52.0
1556,52.0
