DATE,close
2022-05-23,3.95
2022-05-24,3.86
2022-05-25,3.99
2022-05-26,4.15
2022-05-27,4.5
2022-05-31,4.05
2022-06-01,3.6
2022-06-02,4.11
2022-06-03,3.97
2022-06-06,5.23
2022-06-07,5.63
2022-06-08,5.36
2022-06-09,5.47
2022-06-10,5.27
2022-06-13,5.04
2022-06-14,4.37
2022-06-15,4.97
2022-06-16,4.16
2022-06-17,4.47
2022-06-21,4.72
2022-06-22,4.75
2022-06-23,4.96
2022-06-24,4.57
2022-06-27,4.26
2022-06-28,3.655
2022-06-29,3.285
2022-06-30,3.62
2022-07-01,3.74
2022-07-05,3.9
2022-07-06,3.94
2022-07-07,4.13
2022-07-08,4.26
2022-07-11,3.67
2022-07-12,3.76
2022-07-13,3.73
2022-07-14,3.69
2022-07-15,3.5
2022-07-18,3.55
2022-07-19,3.95
2022-07-20,4.3
2022-07-21,4.26
2022-07-22,3.9
2022-07-25,4.06
2022-07-26,3.94
2022-07-27,4.14
2022-07-28,4.97
2022-07-29,5.02
2022-08-01,5.04
2022-08-02,5.03
2022-08-03,4.91
2022-08-04,4.95
2022-08-05,4.86
2022-08-08,4.92
2022-08-09,4.77
2022-08-10,5.47
2022-08-11,5.05
2022-08-12,5.4
2022-08-15,5.19
2022-08-16,4.88
2022-08-17,4.53
2022-08-18,4.72
2022-08-19,4.36
2022-08-22,4.17
2022-08-23,4.34
2022-08-24,4.64
2022-08-25,4.51
2022-08-26,4.38
2022-08-29,4.35
2022-08-30,4.07
2022-08-31,4.14
2022-09-01,4.01
2022-09-02,3.91
2022-09-06,4.06
2022-09-07,4.36
2022-09-08,4.31
2022-09-09,4.3
2022-09-12,4.25
2022-09-13,4.19
2022-09-14,4.35
2022-09-15,3.77
2022-09-16,3.77
2022-09-19,3.73
2022-09-20,3.58
2022-09-21,3.55
2022-09-22,3.33
2022-09-23,3.17
2022-09-26,3.14
2022-09-27,3.1
2022-09-28,3.2
2022-09-29,3.05
2022-09-30,2.96
2022-10-03,3.18
2022-10-04,3.33
2022-10-05,3.09
2022-10-06,2.93
2022-10-07,2.8
2022-10-10,2.71
2022-10-11,2.78
2022-10-12,2.73
2022-10-13,2.61
2022-10-14,2.44
2022-10-17,2.31
2022-10-18,2.28
2022-10-19,2.18
2022-10-20,2.1
2022-10-21,2.11
2022-10-24,1.84
2022-10-25,2.02
2022-10-26,2.04
2022-10-27,2.04
2022-10-28,2.01
2022-10-31,2.07
2022-11-01,2.02
2022-11-02,1.85
2022-11-03,1.91
2022-11-04,1.9
2022-11-07,1.86
2022-11-08,1.93
2022-11-09,2.18
2022-11-10,2.78
2022-11-11,2.58
2022-11-14,2.36
2022-11-15,2.41
2022-11-16,2.26
2022-11-17,2.3
2022-11-18,2.19
2022-11-21,2.13
2022-11-22,2.09
2022-11-23,2.28
2022-11-25,2.18
2022-11-28,1.96
2022-11-29,1.96
2022-11-30,2.12
2022-12-01,2.28
2022-12-02,2.44
2022-12-05,2.41
2022-12-06,2.26
2022-12-07,2.39
2022-12-08,2.53
2022-12-09,2.63
2022-12-12,2.57
2022-12-13,2.71
2022-12-14,2.83
2022-12-15,2.6
2022-12-16,2.63
2022-12-19,2.45
2022-12-20,2.39
2022-12-21,2.6
2022-12-22,2.47
2022-12-23,2.37
2022-12-27,2.23
2022-12-28,2.28
2022-12-29,2.55
2022-12-30,2.68
2023-01-03,2.59
2023-01-04,2.67
2023-01-05,2.61
2023-01-06,2.64
2023-01-09,2.57
2023-01-10,2.78
2023-01-11,2.92
2023-01-12,2.82
2023-01-13,2.52
2023-01-17,2.6
2023-01-18,2.95
2023-01-19,2.83
2023-01-20,2.91
2023-01-23,3.15
2023-01-24,2.99
2023-01-25,2.83
2023-01-26,2.82
2023-01-27,2.94
2023-01-30,2.675
2023-01-31,2.75
2023-02-01,2.82
2023-02-02,2.72
2023-02-03,2.81
2023-02-06,2.9
2023-02-07,2.93
2023-02-08,2.9
2023-02-09,2.85
2023-02-10,2.72
2023-02-13,2.68
2023-02-14,2.78
2023-02-15,2.98
2023-02-16,2.86
2023-02-17,2.92
2023-02-21,2.7
2023-02-22,2.72
2023-02-23,2.81
2023-02-24,2.69
2023-02-27,2.82
2023-02-28,3.07
2023-03-01,2.89
2023-03-02,2.87
2023-03-03,2.86
2023-03-06,3.06
2023-03-07,3.0
2023-03-08,2.9
2023-03-09,2.72
2023-03-10,2.54
2023-03-13,2.66
2023-03-14,2.43
2023-03-15,2.42
2023-03-16,2.27
2023-03-17,2.13
2023-03-20,2.02
2023-03-21,2.07
2023-03-22,2.03
2023-03-23,2.14
2023-03-24,2.06
2023-03-27,2.07
2023-03-28,2.11
2023-03-29,2.1
2023-03-30,2.1
2023-03-31,2.25
2023-04-03,2.24
2023-04-04,2.38
2023-04-05,2.33
2023-04-06,2.41
2023-04-10,2.52
2023-04-11,2.7
2023-04-12,2.74
2023-04-13,2.82
2023-04-14,2.86
2023-04-17,2.78
2023-04-18,2.6
2023-04-19,2.61
2023-04-20,2.58
2023-04-21,2.68
2023-04-24,2.64
2023-04-25,2.58
2023-04-26,2.57
2023-04-27,2.71
2023-04-28,2.73
2023-05-01,2.64
2023-05-02,2.52
2023-05-03,2.58
2023-05-04,2.52
2023-05-05,2.61
2023-05-08,2.64
2023-05-09,2.65
2023-05-10,2.77
